Date,Inflation Rate
2021 JAN,-9.6
2021 FEB,-2.9
2021 MAR,3.4
2021 APR,14.7
2021 MAY,19.6
2021 JUN,20.6
2021 JUL,18.3
2021 AUG,18.6
2021 SEP,18.7
2021 OCT,21.6
2021 NOV,29.4
2021 DEC,28.0
2022 JAN,24.5
2022 FEB,22.4
2022 MAR,33.3
2022 APR,34.3
2022 MAY,36.2
2022 JUN,44.4
2022 JUL,46.8
2022 AUG,32.8
2022 SEP,30.2
2022 OCT,24.5
2022 NOV,21.1
2022 DEC,13.5
2023 JAN,10.3
2023 FEB,6.2
2023 MAR,-6.4
2023 APR,-9.9
2023 MAY,-14.2
2023 JUN,-23.4
2023 JUL,-26.0
2023 AUG,-15.9
2023 SEP,-10.3
2023 OCT,-7.1
2023 NOV,-11.2
2023 DEC,-10.9
2024 JAN,-10.0
2024 FEB,-7.1
2024 MAR,-4.0
2024 APR,0.4
2024 MAY,2.8
2024 JUN,3.5
2024 JUL,2.5
2024 AUG,-3.2
2024 SEP,-11.6
2024 OCT,-14.2
2024 NOV,-12.2
2024 DEC,-6.0
2025 JAN,-2.8
2025 FEB,-2.4
2025 MAR,-5.4
